System,SMILES,RT
dataset_83,S1(=O)(=O)N(C(=C(O)c2c1cccc2)C(=O)Nc1noc(c1)C)C,78.6
dataset_83,O[C@@H]1[C@@H]2[C@@H]([C@@]3([C@H](C1)C[C@H](O)CC3)C)CC[C@]1([C@H]2CC[C@@H]1[C@@H](CCC(=O)O)C)C,78.6
dataset_83,c1(cc(ccc1)C(C)(C)C)OC(=S)NCc1nc(ccc1)OC,81
dataset_83,c1(c2ccccc2)cc(no1)OP(=S)(OCC)OCC,81.6
dataset_83,c12c(cc(c(c1)COCCOCCOCCCC)CCC)OCO2,81.6
dataset_83,c12c(cc(cc1)OC(=S)N(c1cc(ccc1)C)C)cccc2,81.6
dataset_83,c1(C2CC(=O)C(=C(C2)O)/C(=N/OCC)/CC)c(cc(cc1C)C)C,81.6
dataset_83,c1(C(=O)c2ccccc2)c(cc(cc1)OC)O,82.2
dataset_83,c1(ccccc1)OCCCCSC(=O)N(C)C,82.2
dataset_83,S=P(Oc1nc(nc(c1)C)N(CC)CC)(OC)OC,82.2
dataset_83,O=P(SC(C)CC)(SC(C)CC)OCC,82.8
dataset_83,c1(/N=N/c2ccc(/N=N\c3ccccc3)cc2)c2c(ccc1O)cccc2,82.8
dataset_83,O(c1c(/C(=C\OC)/C(=O)OC)cccc1)c1ncnc(Oc2c(cccc2)C#N)c1,83.4
dataset_83,O(C(=O)c1ccc(N)cc1)CC,83.4
dataset_83,Cc1ccc(c(c1C)C(=O)O)C(=O)O,83.4
dataset_83,c12c(C=Cc3c(N1)cccc3)cccc2,83.4
dataset_83,c1(C(=O)N(NC(=O)c2c(c(ccc2)OC)C)C(C)(C)C)cc(cc(c1)C)C,83.4
dataset_83,O=C(c1c2c(n(CCCC)c1)cccc2)c1c2c(ccc1)cccc2,83.4
dataset_83,c1(c(N/C(=N\C(=O)OC)/NC(=O)OC)ccc(c1)Sc1ccccc1)NC(=O)COC,84
dataset_83,c1(c(OC(=O)NC)cccc1)C(C)C,84
