peak,measure_RT,cand_structure,MS_score,retention_score
0,80.90 ,NC(CCCNC(N)=N)C(O)=O,8.173,-9.242855072
0,80.90 ,O=C(O)C(N)CCN(C(=N)N)C,7.169 ,-8.333255768
0,80.90 ,O=C(O)C(N)CCNCC(=N)N,7.026 ,-10.83456612
0,80.90 ,O=C(O)C(N)CCNC(=NC)N,6.881 ,-7.790585518
0,80.90 ,N=C(O)NC(NC(=N)O)C(C)C,6.781 ,-5.208026886
0,80.90 ,O=C(N)NCCCC(N)C(=O)N,6.569 ,-9.635515213
0,80.90 ,OC(=NN)CCCCC(O)=NN,6.567 ,-5.576006889
0,80.90 ,N[C@@H](CCCNC(N)=N)C(O)=O,7.024 ,-8.901931763
1,85.62 ,O=C(O)C(N)CC1=CN=CN1,8.948 ,-8.241265297
1,85.62 ,O=C(O)C(N)CN1N=CC=C1,8.257 ,-5.239004612
1,85.62 ,OCC1=CN=C(N=C1N)OC,7.994 ,-7.215859413
1,85.62 ,O=C(O)C(N)CC1=NC=CN1,7.919 ,-5.239731312
1,85.62 ,O=C1C=C(N)N(C(=O)N1C)C,7.158 ,-5.855761528
1,85.62 ,O=C(OCC)C1=CNNC1=N,6.988 ,-4.740971565
1,85.62 ,N#CCC(O)=NC(O)=NCC,6.890 ,-4.038617134
1,85.62 ,N=C1N=C(OC)C=C(OC)N1,6.868 ,-4.839970589
1,85.62 ,C1=CN(N=C1)C[C@@H](C(=O)[O-])[NH3+],7.628,-2.323010445
1,85.62 ,N[C@@H](Cc1c[nH]cn1)C(O)=O,7.628,-4.882509232
1,85.62 ,N[C@@H](Cn1cccn1)C(O)=O,7.628,-4.899394989
1,85.62 ,C1=C(NC=N1)C[C@@H](C(=O)[O-])[NH3+],7.628,-6.57021904
1,85.62 ,C1=C(NC=N1)C[C@H](C(=O)[O-])[NH3+],7.628,-7.023202896
1,85.62 ,C1=C(NC=N1)CC(C(=O)O)N,7.628,-8.241265297
2,86.41 ,[NH3+]CCC([O-])=O,1.000 ,-4.022446156
2,86.41 ,C([C@H](CO)[NH3+])(=O)*,1.000 ,-5.394200325
2,86.41 ,C[C@@H]([NH3+])C([O-])=O,1.000 ,-3.128276825
2,86.41 ,C[C@H]([NH3+])C([O-])=O,1.000 ,-3.838057041
2,86.41 ,C[NH2+]CC([O-])=O,1.000 ,-4.167356491
2,86.41 ,CC([NH3+])C([O-])=O,1.000 ,-3.821792364
2,86.41 ,CC(C)[N+]([O-])=O,1.000 ,-4.4741745
2,86.41 ,CCC[N+]([O-])=O,1.000 ,-3.657001495
2,86.41 ,CNCC(O)=O,1.000 ,-13.41612816
2,86.41 ,NCCC(O)=O,1.000 ,-11.2745285
2,86.41 ,C[C@H](N)C(O)=O,1.000 ,-10.49688721
2,86.41 ,CC(N)C(O)=O,1.000 ,-10.10058689
2,86.41 ,C[C@@H](N)C(O)=O,1.000 ,-9.392557144
2,86.41 ,O[C@H](C)C(=O)N,1.000 ,-8.958677292
2,86.41 ,N(C)(CO)C(=O)[H],1.000 ,-8.105653763
2,86.41 ,COC(=O)CN,1.000 ,-9.687349319
2,86.41 ,CC(O)C(N)=O,1.000 ,-8.761924744
2,86.41 ,CN(C)C(O)=O,1.000 ,-7.759321213
2,86.41 ,CCOC(N)=O,1.000 ,-6.136512756
3,88.47 ,[NH3+][C@@H](CO)C([O-])=O,1.000 ,-5.312363625
3,88.47 ,[NH3+][C@H](CO)C([O-])=O,1.000 ,-5.800732136
3,88.47 ,[NH3+]C(CO)C([O-])=O,1.000 ,-5.87746954
3,88.47 ,OCC([N+]([O-])=O)C,1.000 ,-5.57201767
3,88.47 ,N[C@H](CO)C(O)=O,1.000 ,-11.2248888
3,88.47 ,C(C(C(=O)O)N)O,1.000 ,-10.94501495
3,88.47 ,N[C@@H](CO)C(O)=O,1.000 ,-10.29587746
3,88.47 ,OCCC[N+]([O-])=O,1.000 ,-6.524717331
4,88.80 ,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)C(=O)COP(O)(O)=O,1.000 ,-5.91770649
4,88.80 ,[H]C(=O)[C@@](O)(COP(O)(O)=O)[C@H](O)[C@H](O)CO,1.000 ,-5.69012785
4,88.80 ,[H]C(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-5.493836403
4,88.80 ,[H]C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-5.487247467
4,88.80 ,[H]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,1.000 ,-5.807065487
4,88.80 ,[H]C(=O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H](O)CO,1.000 ,-5.652097702
4,88.80 ,C1OC(COP(O)(=O)O)([C@H]([C@H]([C@@H]1O)O)O)O,1.000 ,-5.926464081
4,88.80 ,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,1.000 ,-5.390408039
