System,SMILES,RT,pubchem
dataset_82,C1[C@@H](NC[C@]1(C(=O)O)N)C(=O)O,67,5310984
dataset_82,CCN1CCC(CC1)C2C3=NC=CN3CCCN2C(=O)C(C)C,67.4,132428091
dataset_82,CNC1=NC=CC(=N1)N2CCC(CC2)CC(=O)NCCN3CCOCC3,69.4,53189403
dataset_82,C1CNC2CCNC3N2C1NCC3,69.7,98134
dataset_82,C1CC(=O)N(C1)CCCNC(=O)CCC2=CC(=NC=C2)N3CCOCC3,70.7,53185987
dataset_82,CN1C2=CC=CC=C2N=C1CNC(=O)CCC3=CC(=NC=C3)N4CCCC4,70.9,53185969
dataset_82,C1CC(CN(C1)CC2=CN=CC=C2)C3=NNC(=N3)C4CC4,71.1,53192058
dataset_82,CCC(=O)NCC1=NC2=C(N1C)CN(CC2)C(=O)C3=CSC=C3,71.5,53191007
dataset_82,CC(C)CN1CCN(CC1)C(=O)CCC2=CC(=NC=C2)N3CCOCC3,71.8,53186056
dataset_82,CNC1=NC=CC(=N1)N2CCC(CC2)CC(=O)NCC3=CC=CC=N3,72.2,53204176
dataset_82,CN1CCN(CC1)CCCNC(=O)CCC2=CC(=NC=C2)N3CCOCC3,72.7,53186057
dataset_82,C[C@]([C@H]1C[C@@H]1C(=O)O)(C(=O)O)N,72.8,5311457
dataset_82,C1CC(CN(C1)CC2=CN=CC=C2)C3=NN=CN3CC4=CC=CC=C4,72.9,53192683
dataset_82,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)NCCN(C)C)C(=C2)C,73,3532885
dataset_82,CCCNC1=CC(=NC=N1)N2CCC(CC2)CCC(=O)N3CCN(CC3)C(C)C,73,53188592
dataset_82,CC1=CN=C(N1CC2=CC=CC=C2)CCN,73.5,86820596
dataset_82,C1CN2CC([C@H](C([C@H]2[C@H]1O)O)O)O,74.2,356986
dataset_82,CCCNC(=O)NCCC1=NC=C(N1C(C)C)C,74.3,91923975
dataset_82,CC(C)CN1C2=C(C=CC=N2)N=C(C1=O)C(=O)NCCC3=CC=NC=C3,74.4,53189894
dataset_82,CN1C=C2C(=N1)N=C(N=C2N3CCCC3)C(=O)NCCC4=CC=NC=C4,74.4,53190875
dataset_82,CC(C)N1CCN(CC1)C(=O)CCC[C@@H]2[C@H]3CCCN4[C@H]3[C@@H](CCC4)CN2C,75.1,110195732
dataset_82,C1CN(C(=O)N1CC2=CC=CC=C2)C3=NC=C(C=C3)NC(=O)C4=COC=C4,75.5,53187525
dataset_82,CCC(=O)NCC1=NC2=C(N1C)CN(CC2)S(=O)(=O)C3=CC=CC=C3,75.5,83275827
dataset_82,COC1=NC=CC(=N1)N2CCC(CC2)CC(=O)NCC3=NC=CN=C3,75.6,53189283
dataset_82,CC1=NC2=CC=CC=C2C(=C1)NC(=O)C(=O)NCC(C3=CC=CO3)N(C)C,75.9,18589120
